tradingsymbol,exchange
YESBANK,NSE
WIPRO,NSE
TATAMOTORS,NSE
COALINDIA,NSE
ICICIBANK,NSE
BAJAJ-AUTO,NSE
IOC,NSE
HCLTECH,NSE
VEDL,NSE
HEROMOTOCO,NSE
ZEEL,NSE
AXISBANK,NSE
MARUTI,NSE
EICHERMOT,NSE
SUNPHARMA,NSE
BPCL,NSE
HINDALCO,NSE
CIPLA,NSE
ITC,NSE
INDUSINDBK,NSE
HINDUNILVR,NSE
TATASTEEL,NSE
TCS,NSE
RELIANCE,NSE
HDFC,NSE
SBIN,NSE
JSWSTEEL,NSE
NTPC,NSE
GAIL,NSE
BAJAJFINSV,NSE
GRASIM,NSE
ADANIPORTS,NSE
M&M,NSE
TECHM,NSE
LT,NSE
KOTAKBANK,NSE
HDFCBANK,NSE
POWERGRID,NSE
BRITANNIA,NSE
ULTRACEMCO,NSE
ONGC,NSE
INFRATEL,NSE
TITAN,NSE
DRREDDY,NSE
BAJFINANCE,NSE
UPL,NSE
INFY,NSE
BHARTIARTL,NSE
ASIANPAINT,NSE
IBULHSGFIN,NSE
