exchange,exchange_token,expiry,instrument_token,instrument_type,last_price,lot_size,name,segment,strike,tick_size,tradingsymbol
BSE,526525,,134790404,EQ,0.0,1,,BSE,0.0,0.05,WWALUM
BSE,511764,,131011588,EQ,0.0,1,UPASANA FINANCE,BSE,0.0,0.05,UPASAFN
BSE,509243,,130366212,EQ,0.0,1,TVS SRICHAKRA,BSE,0.0,0.05,TVSSRICHAK
BSE,958792,,245450756,EQ,0.0,1,,BSE,0.0,0.01,MMFS27MAY19
BSE,958320,,245329924,EQ,0.0,1,,BSE,0.0,0.01,MMFS24OCT18
BSE,958401,,245350660,EQ,0.0,1,,BSE,0.0,0.01,MMFS22NOV18
BSE,522241,,133693700,EQ,0.0,1,M.M.FORGINGS,BSE,0.0,0.05,MMFL
BSE,958564,,245392388,EQ,0.0,1,,BSE,0.0,0.01,MMF29JAN19
BSE,958402,,245350916,EQ,0.0,1,,BSE,0.0,0.01,MMF22NOV18A
BSE,947696,,242610180,EQ,0.0,1,MMFSL-10.50%-UUU-12-12-21-PVT,BSE,0.0,0.01,MMF12DEC11B
BSE,526891,,134884100,EQ,0.0,1,MARKET CREATORS,BSE,0.0,0.01,MKTCREAT
BSE,539289,,138057988,EQ,0.0,1,MAJESCO,BSE,0.0,0.05,MJCO
BSE,522036,,133641220,EQ,0.0,1,,BSE,0.0,0.01,MIVENMACH
BSE,523782,,134088196,EQ,0.0,1,,BSE,0.0,0.05,MITSHI
BSE,542801,,138957060,EQ,0.0,4000,,BSE,0.0,0.05,MISQUITA
BSE,539594,,138136068,EQ,0.0,1,MISHTANN FOODS,BSE,0.0,0.05,MISHTANN
BSE,539220,,138040324,EQ,0.0,1,MISHKA EXIM,BSE,0.0,0.05,MISHKA
BSE,526642,,134820356,EQ,0.0,1,MIRZA INTERNATIONAL,BSE,0.0,0.05,MIRZAINT
BSE,542565,,138896644,EQ,0.0,1,,BSE,0.0,0.01,MIRAEF3D1G
BSE,532164,,136233988,EQ,0.0,1,MINOLTA FINANCE,BSE,0.0,0.01,MINOLTAF
BSE,523373,,133983492,EQ,0.0,1,MINI DIAMONDS (INDIA),BSE,0.0,0.01,MINID
BSE,539383,,138082052,EQ,0.0,1,MAHAVEER INFOWAY,BSE,0.0,0.01,MINFY
BSE,531456,,136052740,EQ,0.0,1,MINAXI TEXTILES,BSE,0.0,0.01,MINAXI
BSE,511187,,130863876,EQ,0.0,1,MILLENNIUM ONLINE SOLUTIONS (I,BSE,0.0,0.01,MILLENNIUM
BSE,539938,,138224132,EQ,0.0,1,,BSE,0.0,0.05,MIL
BSE,538895,,137957124,EQ,0.0,1,MIHIKA INDUSTRIES,BSE,0.0,0.05,MIHIKA
BSE,526570,,134801924,EQ,0.0,1,MIDWEST GOLD,BSE,0.0,0.01,MIDWEST
BSE,533310,,136527364,EQ,0.0,1,,BSE,0.0,0.01,MIDVAL
BSE,936256,,239681540,EQ,0.0,1,,BSE,0.0,0.01,MIBORECL21
BSE,532990,,136445444,EQ,0.0,1,METKORE ALLOYS & INDUSTRIES LT,BSE,0.0,0.01,METKORE
BSE,513335,,131413764,EQ,0.0,1,METALYST FORGINGS,BSE,0.0,0.01,METALFORGE
BSE,531810,,136143364,EQ,0.0,1,METAL COATINGS (INDIA),BSE,0.0,0.05,METALCO
BSE,540744,,138430468,EQ,0.0,1,MIDEAST INTEGRATED STEELS LIMI,BSE,0.0,0.01,MESCON
BSE,531357,,136027396,EQ,0.0,1,MERCURY METALS,BSE,0.0,0.01,MERMETL
BSE,538964,,137974788,EQ,0.0,1,MERCURY LABORATORIES,BSE,0.0,0.05,MERCURYLAB
BSE,511738,,131004932,EQ,0.0,1,MEHTA SECURITIES,BSE,0.0,0.01,MEHSECU
BSE,531241,,135997700,EQ,0.0,1,LINC PEN & PLASTICS,BSE,0.0,0.05,LINCPENQ
BSE,531633,,136098052,EQ,0.0,1,LINCOLN PHARMACEUTICALS,BSE,0.0,0.05,LINCOPH
BSE,500253,,128064772,EQ,0.0,1,LIC HOUSING FINANCE,BSE,0.0,0.05,LICHSGFIN
BSE,531027,,135942916,EQ,0.0,1,LIBORD SECURITIES,BSE,0.0,0.01,LIBORD
BSE,526596,,134808580,EQ,0.0,1,LIBERTY SHOES,BSE,0.0,0.05,LIBERTSHOE
BSE,500250,,128064004,EQ,0.0,1,L.G.BALAKRISHNAN & BROS.LTD.,BSE,0.0,0.05,LGBBROSLTD
BSE,533602,,136602116,EQ,0.0,1,LESHA INDUSTRIES,BSE,0.0,0.01,LESHAIND
BSE,532998,,136447492,EQ,0.0,1,LOTUS EYE HOSPITAL AND INSTITU,BSE,0.0,0.05,LEHIL
BSE,532829,,136404228,EQ,0.0,1,LAWRESHWAR POLYMERS,BSE,0.0,0.05,LEHAR
BSE,517415,,132458244,EQ,0.0,1,LEE & NEE SOFTWARES (EXPORTS),BSE,0.0,0.01,LEENEE
BSE,540778,,138439172,EQ,0.0,1,,BSE,0.0,0.01,NCBFIVBDD
BSE,540780,,138439684,EQ,0.0,1,,BSE,0.0,0.01,NCBFIVBD
BSE,540827,,138451716,EQ,0.0,1,,BSE,0.0,0.01,NCBFIVBCG
BSE,540825,,138451204,EQ,0.0,1,,BSE,0.0,0.01,NCBFIVBCD
BSE,540761,,138434820,EQ,0.0,1,,BSE,0.0,0.01,NCBFIVAG
BSE,540759,,138434308,EQ,0.0,1,,BSE,0.0,0.01,NCBFIVADG
BSE,540758,,138434052,EQ,0.0,1,,BSE,0.0,0.01,NCBFIVADD
BSE,540760,,138434564,EQ,0.0,1,,BSE,0.0,0.01,NCBFIVAD
BSE,538631,,137889540,EQ,0.0,1,,BSE,0.0,0.01,NCAPBULBDG
BSE,538630,,137889284,EQ,0.0,1,,BSE,0.0,0.01,NCAPBULBDD
BSE,538592,,137879556,EQ,0.0,1,,BSE,0.0,0.01,NCAPBULADG
BSE,538591,,137879300,EQ,0.0,1,,BSE,0.0,0.01,NCAPBULADD
BSE,538633,,137890052,EQ,0.0,1,,BSE,0.0,0.01,NCAPBUILBG
BSE,538632,,137889796,EQ,0.0,1,,BSE,0.0,0.01,NCAPBUILBD
BSE,538594,,137880068,EQ,0.0,1,,BSE,0.0,0.01,NCAPBUILAG
BSE,538593,,137879812,EQ,0.0,1,,BSE,0.0,0.01,NCAPBUILAD
BSE,972641,,248996100,EQ,0.0,5,NABARD-ZC-1-2-2021-PVT,BSE,0.0,0.01,NABARD10211
BSE,533385,,136546564,EQ,0.0,1,MOTILAL OSWAL MOST SHARES NASD,BSE,0.0,0.01,N100
BSE,506734,,129723908,EQ,0.0,1,MYSORE PETRO CHEMICALS,BSE,0.0,0.05,MYSORPETRO
BSE,505594,,129432068,EQ,0.0,1,MULTIPLUS HOLDINGS,BSE,0.0,0.05,MULTIIN
BSE,526169,,134699268,EQ,0.0,1,MULTIBASE INDIA,BSE,0.0,0.05,MULTIBASE
BSE,501477,,128378116,EQ,0.0,1,MULLER & PHIPPS (INDIA),BSE,0.0,0.05,MULLER
