exchange,exchange_token,expiry,instrument_token,instrument_type,last_price,lot_size,name,segment,strike,tick_size,tradingsymbol
MCX,213431,2019-05-31,54638343,FUT,0.0,1,,MCX,0.0,0.05,ZINCMINI19MAYFUT
MCX,214007,2019-06-28,54785799,FUT,0.0,1,,MCX,0.0,0.05,ZINCMINI19JUNFUT
MCX,214008,2019-07-31,54786055,FUT,0.0,1,,MCX,0.0,0.05,ZINCMINI19JULFUT
MCX,214130,2019-08-30,54817287,FUT,0.0,1,,MCX,0.0,0.05,ZINCMINI19AUGFUT
MCX,213026,2019-04-30,54534663,FUT,0.0,1,,MCX,0.0,0.05,ZINCMINI19APRFUT
MCX,213430,2019-05-31,54638087,FUT,0.0,1,,MCX,0.0,0.05,ZINC19MAYFUT
MCX,213586,2019-06-28,54678023,FUT,0.0,1,,MCX,0.0,0.05,ZINC19JUNFUT
MCX,213935,2019-07-31,54767367,FUT,0.0,1,,MCX,0.0,0.05,ZINC19JULFUT
MCX,214144,2019-08-30,54820871,FUT,0.0,1,,MCX,0.0,0.05,ZINC19AUGFUT
MCX,213025,2019-04-30,54534407,FUT,0.0,1,,MCX,0.0,0.05,ZINC19APRFUT
MCX,213951,2019-06-28,54771463,FUT,0.0,1,,MCX,0.0,1.0,SILVERMJUN19AUG19FUT
MCX,213933,2019-11-29,54766855,FUT,0.0,1,,MCX,0.0,1.0,SILVERMIC19NOVFUT
MCX,212362,2019-06-28,54364679,FUT,0.0,1,,MCX,0.0,1.0,SILVERMIC19JUNFUT
MCX,213030,2019-08-30,54535687,FUT,0.0,1,,MCX,0.0,1.0,SILVERMIC19AUGFUT
MCX,211705,2019-04-30,54196487,FUT,0.0,1,,MCX,0.0,1.0,SILVERMIC19APRFUT
MCX,213993,2019-05-03,54782215,FUT,0.0,1,,MCX,0.0,1.0,SILVERMAY19SEP19FUT
MCX,213145,2019-05-03,54565127,FUT,0.0,1,,MCX,0.0,1.0,SILVERMAY19JUL19FUT
MCX,213034,2019-04-30,54536711,FUT,0.0,1,,MCX,0.0,1.0,SILVERMAPR19JUN19FUT
MCX,213950,2019-04-30,54771207,FUT,0.0,1,,MCX,0.0,1.0,SILVERMAPR19AUG19FUT
MCX,214022,2020-02-28,54789639,FUT,0.0,1,,MCX,0.0,1.0,SILVERM20FEBFUT
MCX,212533,2019-11-29,54408455,FUT,0.0,1,,MCX,0.0,1.0,SILVERM19NOVFUT
MCX,211501,2019-06-28,54144263,FUT,0.0,1,,MCX,0.0,1.0,SILVERM19JUNFUT
MCX,212199,2019-08-30,54322951,FUT,0.0,1,,MCX,0.0,1.0,SILVERM19AUGFUT
MCX,210427,2019-04-30,53869319,FUT,0.0,1,,MCX,0.0,1.0,SILVERM19APRFUT
MCX,213994,2019-07-05,54782471,FUT,0.0,1,,MCX,0.0,1.0,SILVERJUL19SEP19FUT
MCX,214023,2020-03-05,54789895,FUT,0.0,1,,MCX,0.0,1.0,SILVER20MARFUT
MCX,212198,2019-09-05,54322695,FUT,0.0,1,,MCX,0.0,1.0,SILVER19SEPFUT
MCX,210428,2019-05-03,53869575,FUT,0.0,1,,MCX,0.0,1.0,SILVER19MAYFUT
MCX,211500,2019-07-05,54144007,FUT,0.0,1,,MCX,0.0,1.0,SILVER19JULFUT
MCX,213157,2019-12-05,54568199,FUT,0.0,1,,MCX,0.0,1.0,SILVER19DECFUT
MCX,213584,2019-05-31,54677511,FUT,0.0,1,,MCX,0.0,0.1,RBDPMOLEIN19MAYFUT
MCX,213939,2019-06-28,54768391,FUT,0.0,1,,MCX,0.0,0.1,RBDPMOLEIN19JUNFUT
MCX,214138,2019-07-31,54819335,FUT,0.0,1,,MCX,0.0,0.1,RBDPMOLEIN19JULFUT
MCX,213410,2019-04-30,54632967,FUT,0.0,1,,MCX,0.0,0.1,RBDPMOLEIN19APRFUT
MCX,213421,2019-05-20,54635783,FUT,0.0,1,,MCX,0.0,5.0,PEPPER19MAYFUT
MCX,213580,2019-06-20,54676487,FUT,0.0,1,,MCX,0.0,5.0,PEPPER19JUNFUT
MCX,213940,2019-07-19,54768647,FUT,0.0,1,,MCX,0.0,5.0,PEPPER19JULFUT
MCX,214137,2019-08-20,54819079,FUT,0.0,1,,MCX,0.0,5.0,PEPPER19AUGFUT
MCX,213429,2019-05-31,54637831,FUT,0.0,1,,MCX,0.0,0.1,NICKELM19MAYFUT
MCX,213024,2019-04-30,54534151,FUT,0.0,1,,MCX,0.0,0.1,NICKELM19APRFUT
MCX,213428,2019-05-31,54637575,FUT,0.0,1,,MCX,0.0,0.1,NICKEL19MAYFUT
MCX,214231,2019-06-28,54843143,FUT,0.0,1,,MCX,0.0,0.1,NICKEL19JUNFUT
MCX,214232,2019-07-31,54843399,FUT,0.0,1,,MCX,0.0,0.1,NICKEL19JULFUT
MCX,214233,2019-08-30,54843655,FUT,0.0,1,,MCX,0.0,0.1,NICKEL19AUGFUT
MCX,213023,2019-04-30,54533895,FUT,0.0,1,,MCX,0.0,0.1,NICKEL19APRFUT
MCX,214118,2019-05-28,54814215,FUT,0.0,1,,MCX,0.0,0.1,NATURALGASMAY19JUN19FUT
MCX,214399,2019-05-28,54886151,FUT,0.0,1,,MCX,0.0,0.1,NATURALGASMAY19JUL19FUT
MCX,214400,2019-06-25,54886407,FUT,0.0,1,,MCX,0.0,0.1,NATURALGASJUN19JUL19FUT
MCX,213926,2019-05-28,54765063,FUT,0.0,1,,MCX,0.0,0.1,NATURALGAS19MAYFUT
MCX,214116,2019-06-25,54813703,FUT,0.0,1,,MCX,0.0,0.1,NATURALGAS19JUNFUT
MCX,214398,2019-07-26,54885895,FUT,0.0,1,,MCX,0.0,0.1,NATURALGAS19JULFUT
MCX,214132,2019-09-30,54817799,FUT,0.0,1,,MCX,0.0,0.1,MENTHAOIL19SEPFUT
MCX,213013,2019-05-31,54531335,FUT,0.0,1,,MCX,0.0,0.1,MENTHAOIL19MAYFUT
MCX,213411,2019-06-28,54633223,FUT,0.0,1,,MCX,0.0,0.1,MENTHAOIL19JUNFUT
MCX,213583,2019-07-31,54677255,FUT,0.0,1,,MCX,0.0,0.1,MENTHAOIL19JULFUT
MCX,213941,2019-08-30,54768903,FUT,0.0,1,,MCX,0.0,0.1,MENTHAOIL19AUGFUT
MCX,212681,2019-04-30,54446343,FUT,0.0,1,,MCX,0.0,0.1,MENTHAOIL19APRFUT
MCX,213427,2019-05-31,54637319,FUT,0.0,1,,MCX,0.0,0.05,LEADMINI19MAYFUT
MCX,213022,2019-04-30,54533639,FUT,0.0,1,,MCX,0.0,0.05,LEADMINI19APRFUT
MCX,213426,2019-05-31,54637063,FUT,0.0,1,,MCX,0.0,0.05,LEAD19MAYFUT
MCX,214261,2019-06-28,54850823,FUT,0.0,1,,MCX,0.0,0.05,LEAD19JUNFUT
MCX,214262,2019-07-31,54851079,FUT,0.0,1,,MCX,0.0,0.05,LEAD19JULFUT
MCX,214263,2019-08-30,54851335,FUT,0.0,1,,MCX,0.0,0.05,LEAD19AUGFUT
MCX,213021,2019-04-30,54533383,FUT,0.0,1,,MCX,0.0,0.05,LEAD19APRFUT
MCX,213588,2019-05-31,54678535,FUT,0.0,1,,MCX,0.0,1.0,GOLDPETAL19MAYFUT
MCX,213938,2019-06-28,54768135,FUT,0.0,1,,MCX,0.0,1.0,GOLDPETAL19JUNFUT
MCX,214134,2019-07-31,54818311,FUT,0.0,1,,MCX,0.0,1.0,GOLDPETAL19JULFUT
MCX,213414,2019-04-30,54633991,FUT,0.0,1,,MCX,0.0,1.0,GOLDPETAL19APRFUT
MCX,213996,2019-05-03,54782983,FUT,0.0,1,,MCX,0.0,1.0,GOLDMMAY19JUN19FUT
MCX,214243,2019-05-03,54846215,FUT,0.0,1,,MCX,0.0,1.0,GOLDMMAY19JUL19FUT
MCX,214244,2019-06-04,54846471,FUT,0.0,1,,MCX,0.0,1.0,GOLDMJUN19JUL19FUT
MCX,213714,2019-05-03,54710791,FUT,0.0,1,,MCX,0.0,1.0,GOLDM19MAYFUT
MCX,213992,2019-06-04,54781959,FUT,0.0,1,,MCX,0.0,1.0,GOLDM19JUNFUT
MCX,214240,2019-07-05,54845447,FUT,0.0,1,,MCX,0.0,1.0,GOLDM19JULFUT
MCX,214241,2019-06-04,54845703,FUT,0.0,1,,MCX,0.0,1.0,GOLDJUN19OCT19FUT
MCX,213730,2019-06-04,54714887,FUT,0.0,1,,MCX,0.0,1.0,GOLDJUN19AUG19FUT
MCX,213587,2019-05-31,54678279,FUT,0.0,1,,MCX,0.0,1.0,GOLDGUINEA19MAYFUT
MCX,213937,2019-06-28,54767879,FUT,0.0,1,,MCX,0.0,1.0,GOLDGUINEA19JUNFUT
MCX,214133,2019-07-31,54818055,FUT,0.0,1,,MCX,0.0,1.0,GOLDGUINEA19JULFUT
MCX,213413,2019-04-30,54633735,FUT,0.0,1,,MCX,0.0,1.0,GOLDGUINEA19APRFUT
MCX,214242,2019-08-05,54845959,FUT,0.0,1,,MCX,0.0,1.0,GOLDAUG19OCT19FUT
MCX,213728,2020-02-05,54714375,FUT,0.0,1,,MCX,0.0,1.0,GOLD20FEBFUT
MCX,214273,2020-04-03,54853895,FUT,0.0,1,,MCX,0.0,1.0,GOLD20APRFUT
MCX,212534,2019-10-04,54408711,FUT,0.0,1,,MCX,0.0,1.0,GOLD19OCTFUT
MCX,210997,2019-06-05,54015239,FUT,0.0,1,,MCX,0.0,1.0,GOLD19JUNFUT
MCX,213158,2019-12-05,54568455,FUT,0.0,1,,MCX,0.0,1.0,GOLD19DECFUT
MCX,211817,2019-08-05,54225159,FUT,0.0,1,,MCX,0.0,1.0,GOLD19AUGFUT
MCX,214079,2019-05-20,54804231,FUT,0.0,1,,MCX,0.0,1.0,CRUDEOILMMAY19JUN19FUT
