exchange,exchange_token,expiry,instrument_token,instrument_type,last_price,lot_size,name,segment,strike,tick_size,tradingsymbol
NFO,52376,2019-10-31,13408258,FUT,0.0,2200,,NFO-FUT,0.0,0.05,YESBANK19OCTFUT
NFO,52375,2019-10-31,13408002,FUT,0.0,3200,,NFO-FUT,0.0,0.05,WIPRO19OCTFUT
NFO,52373,2019-10-31,13407490,FUT,0.0,1000,,NFO-FUT,0.0,0.05,VOLTAS19OCTFUT
NFO,52346,2019-10-31,13400578,FUT,0.0,3000,,NFO-FUT,0.0,0.05,VEDL19OCTFUT
NFO,52344,2019-10-31,13400066,FUT,0.0,7000,,NFO-FUT,0.0,0.05,UNIONBANK19OCTFUT
NFO,52343,2019-10-31,13399810,FUT,0.0,200,,NFO-FUT,0.0,0.05,ULTRACEMCO19OCTFUT
NFO,52342,2019-10-31,13399554,FUT,0.0,1600,,NFO-FUT,0.0,0.05,UJJIVAN19OCTFUT
NFO,52341,2019-10-31,13399298,FUT,0.0,700,,NFO-FUT,0.0,0.05,UBL19OCTFUT
NFO,52340,2019-10-31,13399042,FUT,0.0,1100,,NFO-FUT,0.0,0.05,TVSMOTOR19OCTFUT
NFO,52339,2019-10-31,13398786,FUT,0.0,3000,,NFO-FUT,0.0,0.05,TORNTPOWER19OCTFUT
NFO,52320,2019-10-31,13393922,FUT,0.0,750,,NFO-FUT,0.0,0.05,TITAN19OCTFUT
NFO,52311,2019-10-31,13391618,FUT,0.0,1200,,NFO-FUT,0.0,0.05,TECHM19OCTFUT
NFO,52310,2019-10-31,13391362,FUT,0.0,250,,NFO-FUT,0.0,0.05,TCS19OCTFUT
NFO,52291,2019-10-31,13386498,FUT,0.0,1061,,NFO-FUT,0.0,0.05,TATASTEEL19OCTFUT
NFO,52288,2019-10-31,13385730,FUT,0.0,9000,,NFO-FUT,0.0,0.05,TATAPOWER19OCTFUT
NFO,52287,2019-10-31,13385474,FUT,0.0,6000,,NFO-FUT,0.0,0.05,TATAMTRDVR19OCTFUT
NFO,52286,2019-10-31,13385218,FUT,0.0,3000,,NFO-FUT,0.0,0.05,TATAMOTORS19OCTFUT
NFO,52285,2019-10-31,13384962,FUT,0.0,2700,,NFO-FUT,0.0,0.05,TATAGLOBAL19OCTFUT
NFO,52282,2019-10-31,13384194,FUT,0.0,600,,NFO-FUT,0.0,0.05,TATAELXSI19OCTFUT
NFO,52269,2019-10-31,13380866,FUT,0.0,900,,NFO-FUT,0.0,0.05,TATACHEM19OCTFUT
NFO,52268,2019-10-31,13380610,FUT,0.0,1000,,NFO-FUT,0.0,0.05,SUNTV19OCTFUT
NFO,52249,2019-10-31,13375746,FUT,0.0,1100,,NFO-FUT,0.0,0.05,SUNPHARMA19OCTFUT
NFO,52248,2019-10-31,13375490,FUT,0.0,1200,,NFO-FUT,0.0,0.05,STAR19OCTFUT
NFO,52237,2019-10-31,13372674,FUT,0.0,600,,NFO-FUT,0.0,0.05,SRTRANSFIN19OCTFUT
NFO,52236,2019-10-31,13372418,FUT,0.0,250,,NFO-FUT,0.0,0.05,SRF19OCTFUT
NFO,52213,2019-10-31,13366530,FUT,0.0,550,,NFO-FUT,0.0,0.05,SIEMENS19OCTFUT
NFO,52212,2019-10-31,13366274,FUT,0.0,50,,NFO-FUT,0.0,0.05,SHREECEM19OCTFUT
NFO,52203,2019-10-31,13363970,FUT,0.0,3000,,NFO-FUT,0.0,0.05,SBIN19OCTFUT
NFO,52202,2019-10-31,13363714,FUT,0.0,12000,,NFO-FUT,0.0,0.05,SAIL19OCTFUT
NFO,52199,2019-10-31,13362946,FUT,0.0,500,,NFO-FUT,0.0,0.05,RELIANCE19OCTFUT
NFO,52198,2019-10-31,13362690,FUT,0.0,6000,,NFO-FUT,0.0,0.05,RECLTD19OCTFUT
NFO,52189,2019-10-31,13360386,FUT,0.0,1200,,NFO-FUT,0.0,0.05,RBLBANK19OCTFUT
NFO,52188,2019-10-31,13360130,FUT,0.0,800,,NFO-FUT,0.0,0.05,RAMCOCEM19OCTFUT
NFO,52172,2019-10-31,13356034,FUT,0.0,4000,,NFO-FUT,0.0,0.05,POWERGRID19OCTFUT
NFO,52171,2019-10-31,13355778,FUT,0.0,7000,,NFO-FUT,0.0,0.05,PNB19OCTFUT
NFO,52170,2019-10-31,13355522,FUT,0.0,500,,NFO-FUT,0.0,0.05,PIDILITIND19OCTFUT
NFO,52169,2019-10-31,13355266,FUT,0.0,6200,,NFO-FUT,0.0,0.05,PFC19OCTFUT
NFO,52168,2019-10-31,13355010,FUT,0.0,3000,,NFO-FUT,0.0,0.05,PETRONET19OCTFUT
NFO,52149,2019-10-31,13350146,FUT,0.0,302,,NFO-FUT,0.0,0.05,PEL19OCTFUT
NFO,52148,2019-10-31,13349890,FUT,0.0,25,,NFO-FUT,0.0,0.05,PAGEIND19OCTFUT
NFO,52139,2019-10-31,13347586,FUT,0.0,3750,,NFO-FUT,0.0,0.05,ONGC19OCTFUT
NFO,52138,2019-10-31,13347330,FUT,0.0,3399,,NFO-FUT,0.0,0.05,OIL19OCTFUT
NFO,52133,2019-10-31,13346050,FUT,0.0,4800,,NFO-FUT,0.0,0.05,NTPC19OCTFUT
NFO,52132,2019-10-31,13345794,FUT,0.0,6000,,NFO-FUT,0.0,0.05,NMDC19OCTFUT
NFO,52119,2019-10-31,13342466,FUT,0.0,750,,NFO-FUT,0.0,0.05,NIITTECH19OCTFUT
NFO,51475,2019-10-31,13177602,FUT,0.0,50,,NFO-FUT,0.0,1.0,NIFTYIT19OCTFUT
NFO,51474,2019-10-31,13177346,FUT,0.0,75,,NFO-FUT,0.0,0.05,NIFTY19OCTFUT
NFO,52118,2019-10-31,13342210,FUT,0.0,50,,NFO-FUT,0.0,0.05,NESTLEIND19OCTFUT
NFO,52111,2019-10-31,13340418,FUT,0.0,8000,,NFO-FUT,0.0,0.05,NCC19OCTFUT
NFO,52110,2019-10-31,13340162,FUT,0.0,8500,,NFO-FUT,0.0,0.05,NBCC19OCTFUT
NFO,52099,2019-10-31,13337346,FUT,0.0,10000,,NFO-FUT,0.0,0.05,NATIONALUM19OCTFUT
