exchange,exchange_token,expiry,instrument_token,instrument_type,last_price,lot_size,name,segment,strike,tick_size,tradingsymbol
NSE,1032,,264201,EQ,0.0,0,NIFTY SMALL 100,NSE-INDICES,0.0,0.0,NIFTY SMALL 100
NSE,1032,,264201,EQ,0.0,0,NIFTY SMALL 100,INDICES,0.0,0.0,NIFTY SMALL 100
NSE,1021,,261385,EQ,0.0,0,NIFTY INFRA,NSE-INDICES,0.0,0.0,NIFTY INFRA
NSE,1021,,261385,EQ,0.0,0,NIFTY INFRA,INDICES,0.0,0.0,NIFTY INFRA
NSE,1036,,265225,EQ,0.0,0,NIFTY50 DIV POINT,NSE-INDICES,0.0,0.0,NIFTY50 DIV POINT
NSE,1036,,265225,EQ,0.0,0,NIFTY50 DIV POINT,INDICES,0.0,0.0,NIFTY50 DIV POINT
NSE,1014,,259593,EQ,0.0,0,NIFTY50 TR 1X INV,NSE-INDICES,0.0,0.0,NIFTY50 TR 1X INV
NSE,1014,,259593,EQ,0.0,0,NIFTY50 TR 1X INV,INDICES,0.0,0.0,NIFTY50 TR 1X INV
NSE,1034,,264713,EQ,0.0,0,HANGSENG BEES-NAV,NSE-INDICES,0.0,0.0,HANGSENG BEES-NAV
NSE,1034,,264713,EQ,0.0,0,HANGSENG BEES-NAV,INDICES,0.0,0.0,HANGSENG BEES-NAV
NSE,1031,,263945,EQ,0.0,0,NIFTY MEDIA,NSE-INDICES,0.0,0.0,NIFTY MEDIA
NSE,1031,,263945,EQ,0.0,0,NIFTY MEDIA,INDICES,0.0,0.0,NIFTY MEDIA
NSE,1024,,262153,EQ,0.0,0,NIFTY MNC,NSE-INDICES,0.0,0.0,NIFTY MNC
NSE,1024,,262153,EQ,0.0,0,NIFTY MNC,INDICES,0.0,0.0,NIFTY MNC
NSE,1033,,264457,EQ,0.0,0,NIFTY 200,NSE-INDICES,0.0,0.0,NIFTY 200
NSE,1033,,264457,EQ,0.0,0,NIFTY 200,INDICES,0.0,0.0,NIFTY 200
NSE,1007,,257801,EQ,0.0,0,NIFTY FIN SERVICE,NSE-INDICES,0.0,0.0,NIFTY FIN SERVICE
NSE,1007,,257801,EQ,0.0,0,NIFTY FIN SERVICE,INDICES,0.0,0.0,NIFTY FIN SERVICE
NSE,1025,,262409,EQ,0.0,0,NIFTY PHARMA,NSE-INDICES,0.0,0.0,NIFTY PHARMA
NSE,1025,,262409,EQ,0.0,0,NIFTY PHARMA,INDICES,0.0,0.0,NIFTY PHARMA
NSE,1005,,257289,EQ,0.0,0,NIFTY COMMODITIES,NSE-INDICES,0.0,0.0,NIFTY COMMODITIES
NSE,1005,,257289,EQ,0.0,0,NIFTY COMMODITIES,INDICES,0.0,0.0,NIFTY COMMODITIES
NSE,1020,,261129,EQ,0.0,0,NIFTY REALTY,NSE-INDICES,0.0,0.0,NIFTY REALTY
