exchange,exchange_token,expiry,instrument_token,instrument_type,last_price,lot_size,name,segment,strike,tick_size,tradingsymbol
NSE,3718,,951809,EQ,0.0,1,VOLTAS,NSE,0.0,0.05,VOLTAS
NSE,11287,,2889473,EQ,0.0,1,UPL,NSE,0.0,0.05,UPL
NSE,11532,,2952193,EQ,0.0,1,ULTRATECH CEMENT,NSE,0.0,0.05,ULTRACEMCO
NSE,17069,,4369665,EQ,0.0,1,UJJIVAN FIN. SERVC.,NSE,0.0,0.05,UJJIVAN
NSE,16713,,4278529,EQ,0.0,1,UNITED BREWERIES,NSE,0.0,0.05,UBL
NSE,8479,,2170625,EQ,0.0,1,TVS MOTOR COMPANY ,NSE,0.0,0.05,TVSMOTOR
NSE,13786,,3529217,EQ,0.0,1,TORRENT POWER,NSE,0.0,0.05,TORNTPOWER
NSE,3518,,900609,EQ,0.0,1,TORRENT PHARMACEUTICALS L,NSE,0.0,0.05,TORNTPHARM
NSE,3506,,897537,EQ,0.0,1,TITAN COMPANY,NSE,0.0,0.05,TITAN
NSE,19196,,4914177,EQ,0.0,1,TILAKNAGAR INDUSTRIES,NSE,0.0,0.05,TI
NSE,13538,,3465729,EQ,0.0,1,TECH MAHINDRA,NSE,0.0,0.05,TECHM
NSE,11536,,2953217,EQ,0.0,1,TATA CONSULTANCY SERV LT,NSE,0.0,0.05,TCS
NSE,3499,,895745,EQ,0.0,1,TATA STEEL,NSE,0.0,0.05,TATASTEEL
NSE,3426,,877057,EQ,0.0,1,TATA POWER CO,NSE,0.0,0.05,TATAPOWER
NSE,16965,,4343041,EQ,0.0,1,TATA MOTORS DVR 'A' ORD,NSE,0.0,0.05,TATAMTRDVR
NSE,3456,,884737,EQ,0.0,1,TATA MOTORS,NSE,0.0,0.05,TATAMOTORS
NSE,3411,,873217,EQ,0.0,1,TATA ELXSI,NSE,0.0,0.05,TATAELXSI
NSE,3405,,871681,EQ,0.0,1,TATA CHEMICALS,NSE,0.0,0.05,TATACHEM
NSE,21484,,5499905,EQ,0.0,1,,NSE,0.0,0.05,STEL
NSE,3812,,975873,EQ,0.0,1,ZEE ENTERTAINMENT ENT,NSE,0.0,0.05,ZEEL
NSE,11915,,3050241,EQ,0.0,1,YES BANK,NSE,0.0,0.05,YESBANK
NSE,3787,,969473,EQ,0.0,1,WIPRO,NSE,0.0,0.05,WIPRO
NSE,16745,,4286721,EQ,0.0,1,RANE BRAKE LINING,NSE,0.0,0.05,RBL
NSE,2043,,523009,EQ,0.0,1,THE RAMCO CEMENTS,NSE,0.0,0.05,RAMCOCEM
NSE,13404,,3431425,EQ,0.0,1,SUN TV NETWORK,NSE,0.0,0.05,SUNTV
NSE,3351,,857857,EQ,0.0,1,SUN PHARMACEUTICAL IND L,NSE,0.0,0.05,SUNPHARMA
NSE,11351,,2905857,EQ,0.0,1,PETRONET LNG,NSE,0.0,0.05,PETRONET
NSE,2412,,617473,EQ,0.0,1,PIRAMAL ENTERPRISES,NSE,0.0,0.05,PEL
NSE,14413,,3689729,EQ,0.0,1,PAGE INDUSTRIES,NSE,0.0,0.05,PAGEIND
NSE,2475,,633601,EQ,0.0,1,OIL AND NATURAL GAS CORP.,NSE,0.0,0.05,ONGC
NSE,17438,,4464129,EQ,0.0,1,OIL INDIA,NSE,0.0,0.05,OIL
NSE,10768,,2756609,EQ,0.0,1,,NSE,0.0,0.05,OAL
NSE,11630,,2977281,EQ,0.0,1,NTPC,NSE,0.0,0.05,NTPC
NSE,15332,,3924993,EQ,0.0,1,NMDC,NSE,0.0,0.05,NMDC
NSE,11543,,2955009,EQ,0.0,1,NIIT TECHNOLOGIES,NSE,0.0,0.05,NIITTECH
NSE,17963,,4598529,EQ,0.0,1,NESTLE INDIA,NSE,0.0,0.05,NESTLEIND
NSE,3045,,779521,EQ,0.0,1,STATE BANK OF INDIA,NSE,0.0,0.05,SBIN
NSE,2319,,593665,EQ,0.0,1,NCC,NSE,0.0,0.05,NCC
NSE,31415,,8042241,EQ,0.0,1,NBCC (INDIA),NSE,0.0,0.05,NBCC
NSE,6364,,1629185,EQ,0.0,1,NATIONAL ALUMINIUM CO,NSE,0.0,0.05,NATIONALUM
NSE,4204,,1076225,EQ,0.0,1,MOTHERSON SUMI SYSTEMS LT,NSE,0.0,0.05,MOTHERSUMI
NSE,14356,,3675137,EQ,0.0,1,MINDTREE,NSE,0.0,0.05,MINDTREE
NSE,17534,,4488705,EQ,0.0,1,MAHANAGAR GAS,NSE,0.0,0.05,MGL
NSE,2142,,548353,EQ,0.0,1,MAX FINANCIAL SERV,NSE,0.0,0.05,MFSL
NSE,1922,,492033,EQ,0.0,1,KOTAK MAHINDRA BANK,NSE,0.0,0.05,KOTAKBANK
NSE,29962,,7670273,EQ,0.0,1,JUSTDIAL,NSE,0.0,0.05,JUSTDIAL
NSE,18096,,4632577,EQ,0.0,1,JUBILANT FOODWORKS,NSE,0.0,0.05,JUBLFOOD
NSE,1594,,408065,EQ,0.0,1,INFOSYS,NSE,0.0,0.05,INFY
NSE,29135,,7458561,EQ,0.0,1,BHARTI INFRATEL,NSE,0.0,0.05,INFRATEL
NSE,11262,,2883073,EQ,0.0,1,INDRAPRASTHA GAS,NSE,0.0,0.05,IGL
NSE,11184,,2863105,EQ,0.0,1,,NSE,0.0,0.05,IDFCFIRSTB
NSE,11957,,3060993,EQ,0.0,1,IDFC,NSE,0.0,0.05,IDFC
NSE,14366,,3677697,EQ,0.0,1,IDEA CELLULAR,NSE,0.0,0.05,IDEA
NSE,4963,,1270529,EQ,0.0,1,ICICI BANK,NSE,0.0,0.05,ICICIBANK
NSE,10447,,2674433,EQ,0.0,1,UNITED SPIRITS,NSE,0.0,0.05,MCDOWELL-N
NSE,10999,,2815745,EQ,0.0,1,MARUTI SUZUKI INDIA,NSE,0.0,0.05,MARUTI
NSE,4067,,1041153,EQ,0.0,1,MARICO,NSE,0.0,0.05,MARICO
NSE,19061,,4879617,EQ,0.0,1,MANAPPURAM FINANCE,NSE,0.0,0.05,MANAPPURAM
NSE,11483,,2939649,EQ,0.0,1,LARSEN & TOUBRO,NSE,0.0,0.05,LT
NSE,1394,,356865,EQ,0.0,1,HINDUSTAN UNILEVER,NSE,0.0,0.05,HINDUNILVR
