exchange,exchange_token,expiry,instrument_token,instrument_type,last_price,lot_size,name,segment,strike,tick_size,tradingsymbol
NSE,3724,,953345,EQ,0.0,1,VST INDUSTRIES,NSE,0.0,0.05,VSTIND
NSE,27067,,6929153,EQ,0.0,1,VARDHMAN SPC STEEL,NSE,0.0,0.05,VSSL
NSE,8696,,2226177,EQ,0.0,1,VRL LOGISTICS,NSE,0.0,0.05,VRLLOG
NSE,13577,,3475713,EQ,0.0,1,VOLTAMP TRANSFORMERS,NSE,0.0,0.05,VOLTAMP
NSE,29284,,7496705,EQ,0.0,1,VMART RETAIL,NSE,0.0,0.05,VMART
NSE,3715,,951041,EQ,0.0,1,VLS FINANCE,NSE,0.0,0.05,VLSFINANCE
NSE,11965,,3063041,EQ,0.0,1,VIVIMED LABS,NSE,0.0,0.05,VIVIMEDLAB
NSE,29877,,7648513,EQ,0.0,1,,NSE,0.0,0.05,VIVIDHA
NSE,13702,,3507713,EQ,0.0,1,,NSE,0.0,0.05,VISHWARAJ
NSE,6908,,1768449,EQ,0.0,1,VISHNU CHEMICALS,NSE,0.0,0.05,VISHNU
NSE,4221,,1080577,EQ,0.0,1,VISAKA INDUSTRIES,NSE,0.0,0.05,VISAKAIND
NSE,8424,,2156545,EQ,0.0,1,,NSE,0.0,0.05,VIPULLTD
NSE,3703,,947969,EQ,0.0,1,VIP INDUSTRIES,NSE,0.0,0.05,VIPIND
NSE,14843,,3799809,EQ,0.0,1,VIP CLOTHING,NSE,0.0,0.05,VIPCLOTHNG
NSE,16821,,4306177,EQ,0.0,1,VINYL CHEMICALS (I),NSE,0.0,0.05,VINYLINDIA
NSE,3694,,945665,EQ,0.0,1,VINDHYA TELELINKS,NSE,0.0,0.05,VINDHYATEL
NSE,17364,,4445185,EQ,0.0,1,VINATI ORGANICS,NSE,0.0,0.05,VINATIORGA
NSE,13101,,3353857,EQ,0.0,1,,NSE,0.0,0.05,VIMTALABS
NSE,3688,,944129,EQ,0.0,1,,NSE,0.0,0.05,VIKASWSP
NSE,12148,,3109889,EQ,0.0,1,,NSE,0.0,0.05,VIKASPROP
NSE,25756,,6593537,EQ,0.0,1,,NSE,0.0,0.05,VIKASECO
NSE,17691,,4528897,EQ,0.0,1,,NSE,0.0,0.05,VIJIFIN
NSE,13536,,3465217,EQ,0.0,1,VIDHI SPCLTY F INGRDNTS L,NSE,0.0,0.05,VIDHIING
NSE,11892,,3044353,EQ,0.0,1,VARDHMAN HOLDINGS,NSE,0.0,0.05,VHL
NSE,15362,,3932673,EQ,0.0,1,V-GUARD IND,NSE,0.0,0.05,VGUARD
NSE,8652,,2214913,EQ,0.0,1,VETO SWITCHGEAR CABLE,NSE,0.0,0.05,VETO
NSE,3676,,941057,EQ,0.0,1,VESUVIUS INDIA,NSE,0.0,0.05,VESUVIUS
NSE,18921,,4843777,EQ,0.0,1,VARUN BEVERAGES,NSE,0.0,0.05,VBL
NSE,25340,,6487041,EQ,0.0,1,VASWANI IND,NSE,0.0,0.05,VASWANI
NSE,18110,,4636161,EQ,0.0,1,VASCON ENGINEERS,NSE,0.0,0.05,VASCONEQ
NSE,3857,,987393,EQ,0.0,1,,NSE,0.0,0.05,VARROC
NSE,11220,,2872321,EQ,0.0,1,VARDHAMAN ACRYLICS,NSE,0.0,0.05,VARDHACRLC
NSE,13342,,3415553,EQ,0.0,1,,NSE,0.0,0.05,VAKRANGEE
NSE,11364,,2909185,EQ,0.0,1,VAIBHAV GLOBAL,NSE,0.0,0.05,VAIBHAVGBL
NSE,24196,,6194177,EQ,0.0,1,VADILAL INDUSTRIES,NSE,0.0,0.05,VADILALIND
NSE,14766,,3780097,EQ,0.0,1,V2 RETAIL,NSE,0.0,0.05,V2RETAIL
NSE,17484,,4475905,EQ,0.0,1,,NSE,0.0,0.05,UVSL
NSE,20203,,5171969,EQ,0.0,1,,NSE,0.0,0.05,URJA
NSE,3607,,923393,EQ,0.0,1,UNIVERSAL CABLES,NSE,0.0,0.05,UNIVCABLES
NSE,13295,,3403521,EQ,0.0,1,,NSE,0.0,0.05,VISASTEEL
NSE,17999,,4607745,EQ,0.0,1,UNITED NILGIRI TEA,NSE,0.0,0.05,UNITEDTEA
NSE,18278,,4679169,EQ,0.0,1,UNITED BANK OF INDIA,NSE,0.0,0.05,UNITEDBNK
NSE,3594,,920065,EQ,0.0,1,,NSE,0.0,0.05,UNITECH
NSE,11293,,2891009,EQ,0.0,1,UNIPHOS ENTERPRISES,NSE,0.0,0.05,UNIENTER
NSE,3579,,916225,EQ,0.0,1,UNICHEM LABORATORIES,NSE,0.0,0.05,UNICHEMLAB
NSE,11387,,2915073,EQ,0.0,1,UMANG DAIRIES,NSE,0.0,0.05,UMANGDAIRY
NSE,25536,,6537217,EQ,0.0,1,UJAAS ENERGY,NSE,0.0,0.05,UJAAS
NSE,19578,,5011969,EQ,0.0,1,,NSE,0.0,0.05,UGARSUGAR
NSE,9039,,2313985,EQ,0.0,1,UFO MOVIEZ INDIA,NSE,0.0,0.05,UFO
NSE,1053,,269569,EQ,0.0,1,UFLEX,NSE,0.0,0.05,UFLEX
NSE,11223,,2873089,EQ,0.0,1,UCO BANK,NSE,0.0,0.05,UCOBANK
NSE,3570,,913921,EQ,0.0,1,UCAL FUEL SYSTEMS,NSE,0.0,0.05,UCALFUEL
NSE,15414,,3945985,EQ,0.0,1,TITAGARH WAGONS,NSE,0.0,0.05,TWL
NSE,18504,,4737025,EQ,0.0,1,,NSE,0.0,0.05,TVVISION
NSE,11275,,2886401,EQ,0.0,1,TV TODAY NETWORK,NSE,0.0,0.05,TVTODAY
NSE,14245,,3646721,EQ,0.0,1,TVS SRICHAKRA,NSE,0.0,0.05,TVSSRICHAK
NSE,14208,,3637249,EQ,0.0,1,TV18 BROADCAST,NSE,0.0,0.05,TV18BRDCST
NSE,8954,,2292225,EQ,0.0,1,,NSE,0.0,0.05,TTML
NSE,3546,,907777,EQ,0.0,1,TTK PRESTIGE,NSE,0.0,0.05,TTKPRESTIG
NSE,11369,,2910465,EQ,0.0,1,TTK HEALTHCARE,NSE,0.0,0.05,TTKHLTCARE
NSE,13081,,3348737,EQ,0.0,1,TRIVENI ENGG. & INDS.,NSE,0.0,0.05,TRIVENI
NSE,25584,,6549505,EQ,0.0,1,TRIVENI TURBINE,NSE,0.0,0.05,TRITURBINE
NSE,15174,,3884545,EQ,0.0,1,TRANS & RECTI.,NSE,0.0,0.05,TRIL
NSE,5428,,1389569,EQ,0.0,1,TRIGYN TECHNOLOGIES,NSE,0.0,0.05,TRIGYN
NSE,17987,,4604673,EQ,0.0,1,TRF,NSE,0.0,0.05,TRF
NSE,1964,,502785,EQ,0.0,1,TRENT,NSE,0.0,0.05,TRENT
NSE,7518,,1924609,EQ,0.0,1,,NSE,0.0,0.05,TREJHARA
NSE,9219,,2360065,EQ,0.0,1,TPL PLASTECH,NSE,0.0,0.05,TPLPLASTEH
NSE,3837,,982273,EQ,0.0,1,TOKYO PLAST INTL,NSE,0.0,0.05,TOKYOPLAST
NSE,3980,,1018881,EQ,0.0,1,TAMILNADU NEWSPRT & PAPER,NSE,0.0,0.05,TNPL
